name,time,nodeid,value
test,1503460893249784832,111,"255,from,10,44,rssi,29,msg,id,235,l,72.46,t,26.02,h,49.09,"
test,1503460893249972992,111,"255,from,10,44,rssi,-1,msg,id,205,l,47.63,t,26.55,h,50.00,"
test,1503460893250057984,111,"255,light,72.87,158,temperature,25.34,humidity,48.51,"
test,1503460893250140928,111,"255,from,10,44,rssi,0,msg,id,205,l,46.81,t,26.54,h,49.93,"
test,1503460893250214144,111,"255,from,10,44,rssi,29,msg"
test,1503460894077251072,111,"255,light,74.90,160,temperature,25.52,humidity,47.92,"
test,1503460894093236992,111,"255,from,10,44,rssi,29,msg,id,235,l,74.09,t,26.18,h,48.57,"
test,1503460894316018176,111,"255,from,10,44,rssi,-1,msg,id,205,l,49.25,t,26.91,h,48.77,"
test,1503460895398316032,111,"255,light,74.49,160,temperature,25.54,humidity,47.92,"
test,1503460895414264832,111,"255,from,10,44,rssi,0,msg,id,205,l,48.85,t,26.91,h,48.90,"
test,1503460895891602944,111,"255,from,10,44,rssi,-4,msg,id,205,l,48.85,t,26.91,h,48.93,"
test,1503460896703529984,111,"255,light,74.90,157,temperature,25.54,humidity,47.92,"
test,1503460896719362048,111,"255,from,10,44,rssi,29,msg,id,235,l,74.49,t,26.18,h,48.61,"
test,1503460896735354880,111,"255,from,10,44,rssi,-2,msg,id,205,l,46.81,t,26.91,h,48.96,"
test,1503460897483390208,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.44,t,26.91,h,48.96,"
test,1503460898024523008,111,"255,light,73.27,158,temperature,25.55,humidity,47.89,"
test,1503460898040411904,111,"255,from,10,44,rssi,29,msg,id,235,l,73.68,t,26.18,h,48.61,"
test,1503460898263227904,111,"255,from,10,44,rssi,-1,msg,id,205,l,49.25,t,26.91,h,48.93,"
test,1503460899329665024,111,"255,light,75.31,163,temperature,25.55,humidity,47.86,"
test,1503460899345544960,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.44,t,26.91,h,48.93,"
test,1503460899854800896,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.85,t,26.91,h,48.83,"
test,1503460900664669952,111,"255,light,76.94,159,temperature,25.58,humidity,47.86,"
test,1503460900664788992,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.85,t,26.91,h,48.77,"
test,1503460901412716032,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.85,t,26.91,h,48.70,"
test,1503460901953820928,111,"255,light,73.68,158,temperature,25.58,humidity,47.86,"
test,1503460901969712128,111,"255,from,10,44,rssi,29,msg,id,235,l,74.49,t,26.19,h,48.57,"
test,1503460902209247232,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.85,t,26.91,h,48.70,"
test,1503460903287770112,111,"255,light,74.09,162,temperature,25.58,humidity,47.83,"
test,1503460903289925120,111,"255,from,10,44,rssi,-4,msg,id,205,l,48.85,t,26.91,h,48.70,"
test,1503460903797200896,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.85,t,26.91,h,48.70,"
test,1503460904577094912,111,"255,light,74.90,160,temperature,25.58,humidity,47.83,"
test,1503460904592847104,111,"255,from,10,44,rssi,29,msg,id,235,l,74.90,t,26.19,h,48.57,"
test,1503460904608926976,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.85,t,26.91,h,48.70,"
test,1503460905357025024,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.85,t,26.91,h,48.70,"
test,1503460905898104832,111,"255,light,74.09,157,temperature,25.58,humidity,47.79,"
test,1503460905913963008,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.19,h,48.57,"
test,1503460906168699136,111,"255,from,10,44,rssi,-2,msg,id,205,l,49.25,t,26.91,h,48.64,"
test,1503460907203067904,111,"255,light,74.90,160,temperature,25.58,humidity,47.79,"
test,1503460907219175168,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.85,t,26.90,h,48.61,"
test,1503460907744303104,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.85,t,26.88,h,48.57,"
test,1503460908524302080,111,"255,light,74.49,160,temperature,25.58,humidity,47.79,"
test,1503460908550199040,111,"255,from,10,44,rssi,29,msg,id,235,l,72.87,t,26.19,h,48.57,"
test,1503460908550318080,111,"255,from,10,44,rssi,-5,msg,id,205,l,48.85,t,26.90,h,48.54,"
test,1503460909314034944,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.85,t,26.88,h,48.48,"
test,1503460909823312896,111,"255,light,75.72,161,temperature,25.58,humidity,47.79,"
test,1503460909839310848,111,"255,from,10,44,rssi,29,msg,id,235,l,75.72,t,26.16,h,48.57,"
test,1503460910094032896,111,"255,from,10,44,rssi,-5,msg,id,205,l,48.85,t,26.87,h,48.44,"
test,1503460911144460032,111,"255,light,73.68,157,temperature,25.59,humidity,47.79,"
test,1503460911160381952,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.44,t,26.88,h,48.51,"
test,1503460911208100096,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.19,h,48.57,"
test,1503460911669876224,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.85,t,26.90,h,48.57,"
test,1503460912479510016,111,"255,light,74.09,162,temperature,25.59,humidity,47.76,"
test,1503460912479661056,111,"255,from,10,44,rssi,29,msg,id,235,l,74.49,t,26.18,h,48.57,"
test,1503460913275266048,111,"255,from,10,44,rssi,-2,msg,id,205,l,48.85,t,26.90,h,48.61,"
test,1503460913768697088,111,"255,light,74.49,160,temperature,25.58,humidity,47.73,"
test,1503460913784694016,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.19,h,48.61,"
test,1503460914055176960,111,"255,from,10,44,rssi,-2,msg,id,205,l,47.63,t,26.90,h,48.61,"
test,1503460915073800192,111,"255,light,75.31,161,temperature,25.58,humidity,47.73,"
test,1503460915089648128,111,"255,from,10,44,rssi,29,msg,id,235,l,73.68,t,26.18,h,48.57,"
test,1503460915631021056,111,"255,from,10,44,rssi,-2,msg,id,205,l,49.25,t,26.90,h,48.57,"
test,1503460916409753088,111,"255,light,74.49,160,temperature,25.58,humidity,47.73,"
test,1503460916409879040,111,"255,from,10,44,rssi,29,msg,id,235,l,73.27,t,26.19,h,48.57,"
test,1503460917221545984,111,"255,from,10,44,rssi,-2,msg,id,205,l,49.25,t,26.91,h,48.51,"
